order_id,delivery_partner_id,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
2460545397,50527,11.0,2.53,Slightly Delayed,Traffic
9690050839,76868,5.0,3.82,On Time,Traffic
2574349065,406,1.0,1.72,On Time,Traffic
2461936988,77590,19.0,4.4,Significantly Delayed,Traffic
6447596416,45656,-4.0,4.27,On Time,
7228452275,96211,0.0,4.62,On Time,
6696750742,89976,0.0,4.39,On Time,
822235931,1773,15.0,1.42,Slightly Delayed,Traffic
7678251499,60822,5.0,1.85,On Time,Traffic
2497341976,42711,1.0,1.33,On Time,Traffic
9107314128,21125,-1.0,2.2,On Time,
9855726256,59743,-2.0,0.96,On Time,
9398719862,4852,4.0,0.85,On Time,Traffic
379494532,99227,2.0,3.39,On Time,Traffic
1048784963,35552,-5.0,2.18,On Time,
4386246924,56384,26.0,3.44,Significantly Delayed,Traffic
2050362692,16076,3.0,3.48,On Time,Traffic
4142963293,74308,3.0,1.26,On Time,Traffic
9753528654,63454,-2.0,1.84,On Time,
8126970833,83636,26.0,1.13,Significantly Delayed,Traffic
9747814712,33342,3.0,1.23,On Time,Traffic
6281619403,12086,-5.0,4.51,On Time,
436184281,59936,27.0,0.74,Significantly Delayed,Traffic
9799231260,58378,4.0,0.9,On Time,Traffic
4071811527,27993,9.0,2.39,Slightly Delayed,Traffic
5645359563,45180,-5.0,4.78,On Time,
9411813703,32773,5.0,0.65,On Time,Traffic
4270217473,4904,0.0,1.23,On Time,
279851011,73623,-1.0,4.34,On Time,
6260524887,22883,-4.0,3.76,On Time,
5853998391,23606,-3.0,4.67,On Time,
9931976872,97297,-4.0,3.03,On Time,
8432209832,18907,12.0,4.17,Slightly Delayed,Traffic
6023721507,72197,-1.0,2.05,On Time,
3042338919,70995,-3.0,1.33,On Time,
233646065,56968,5.0,4.89,On Time,Traffic
9870610018,44706,-1.0,0.86,On Time,
1398230967,92744,-4.0,4.81,On Time,
8615488922,1328,21.0,3.94,Significantly Delayed,Traffic
2748841057,11008,24.0,0.84,Significantly Delayed,Traffic
1375867721,21511,-3.0,4.45,On Time,
8595141097,19332,3.0,4.33,On Time,Traffic
4673382071,97477,9.0,4.9,Slightly Delayed,Traffic
2948696008,89164,-3.0,2.28,On Time,
6839692624,44627,25.0,1.17,Significantly Delayed,Traffic
5770951298,4946,-2.0,0.95,On Time,
5084771819,66403,13.0,1.37,Slightly Delayed,Traffic
422403644,23782,8.0,0.56,Slightly Delayed,Traffic
7176758896,75492,1.0,2.94,On Time,Traffic
8252905093,40596,1.0,3.25,On Time,Traffic
1488561572,31495,-1.0,2.51,On Time,
6212984517,15665,-2.0,1.27,On Time,
6309784337,23009,0.0,4.05,On Time,
4613890018,82638,0.0,3.82,On Time,
3429728472,77476,9.0,1.25,Slightly Delayed,Traffic
267738904,73022,14.0,4.28,Slightly Delayed,Traffic
3850416839,32659,13.0,1.32,Slightly Delayed,Traffic
3412702479,35140,5.0,1.11,On Time,Traffic
2016183232,38755,11.0,1.63,Slightly Delayed,Traffic
3810280204,70290,4.0,0.75,On Time,Traffic
2416767295,28144,9.0,1.13,Slightly Delayed,Traffic
2283439407,58922,4.0,0.57,On Time,Traffic
4328802292,66985,18.0,3.65,Significantly Delayed,Traffic
7072715691,82046,1.0,3.65,On Time,Traffic
5640741373,20090,0.0,4.34,On Time,
6931094066,66225,-4.0,3.82,On Time,
3417088709,63738,21.0,1.29,Significantly Delayed,Traffic
4424404315,8506,4.0,2.43,On Time,Traffic
2444087306,75692,2.0,4.67,On Time,Traffic
486085268,90390,5.0,0.53,On Time,Traffic
1731312620,75316,-1.0,2.13,On Time,
6475582506,52304,4.0,2.09,On Time,Traffic
1868581378,38861,4.0,3.94,On Time,Traffic
8884235937,81977,8.0,4.57,Slightly Delayed,Traffic
4590662628,18200,15.0,2.1,Slightly Delayed,Traffic
992302540,12863,3.0,3.48,On Time,Traffic
7169974633,69861,-1.0,2.57,On Time,
6703651257,4285,3.0,2.43,On Time,Traffic
7180810221,59848,9.0,0.51,Slightly Delayed,Traffic
7875587578,40025,10.0,3.53,Slightly Delayed,Traffic
2578671497,64618,5.0,0.79,On Time,Traffic
6284350691,9053,0.0,4.5,On Time,
5383261788,94840,-4.0,2.11,On Time,
6590867973,23582,-1.0,0.73,On Time,
8787105023,54795,3.0,3.68,On Time,Traffic
1402916311,57649,4.0,2.72,On Time,Traffic
9715205272,21783,2.0,4.93,On Time,Traffic
3946852375,92389,0.0,4.04,On Time,
3367039425,72408,2.0,1.38,On Time,Traffic
687711388,44884,12.0,1.67,Slightly Delayed,Traffic
647012431,94183,18.0,0.92,Significantly Delayed,Traffic
7143278295,89680,-4.0,1.65,On Time,
9736844695,87624,-5.0,1.4,On Time,
5933289680,1722,20.0,2.24,Significantly Delayed,Traffic
9494303116,12071,5.0,3.87,On Time,Traffic
9337878102,15234,-4.0,0.63,On Time,
6872621077,42244,-5.0,3.42,On Time,
7330237253,18688,-1.0,3.63,On Time,
7942616242,76694,25.0,4.96,Significantly Delayed,Traffic
238520071,91088,3.0,1.92,On Time,Traffic
5812379362,68969,-4.0,4.52,On Time,
2616623847,43649,15.0,4.33,Slightly Delayed,Traffic
2040854480,11814,25.0,2.48,Significantly Delayed,Traffic
5456484560,32681,25.0,3.76,Significantly Delayed,Traffic
883309006,23074,8.0,3.46,Slightly Delayed,Traffic
6528341992,50910,11.0,2.7,Slightly Delayed,Traffic
3263203775,38308,-1.0,3.36,On Time,
3660010934,17404,5.0,2.74,On Time,Traffic
7944885043,16741,-2.0,2.23,On Time,
2506369831,62473,13.0,4.07,Slightly Delayed,Traffic
697061213,80729,3.0,1.48,On Time,Traffic
7079057004,16501,22.0,3.58,Significantly Delayed,Traffic
1556153632,45137,9.0,0.75,Slightly Delayed,Traffic
2161235338,96206,9.0,4.68,Slightly Delayed,Traffic
1247978468,30662,-1.0,1.56,On Time,
5437627061,39894,1.0,4.76,On Time,Traffic
9091960039,51540,0.0,2.76,On Time,
619198317,83654,-5.0,4.77,On Time,
9833179291,97223,-4.0,0.59,On Time,
4148760273,55805,3.0,4.35,On Time,Traffic
7206041763,1128,2.0,2.69,On Time,Traffic
690097648,92460,10.0,1.87,Slightly Delayed,Traffic
4197061567,48139,2.0,0.66,On Time,Traffic
2009394836,71878,-2.0,3.18,On Time,
277502363,18055,5.0,4.14,On Time,Traffic
4356959622,94308,-5.0,3.45,On Time,
174306009,35598,27.0,1.41,Significantly Delayed,Traffic
9582674091,16055,22.0,3.55,Significantly Delayed,Traffic
8675579025,13158,2.0,3.41,On Time,Traffic
5195999941,12987,14.0,2.34,Slightly Delayed,Traffic
5210007923,94672,1.0,2.16,On Time,Traffic
6595771960,72175,4.0,1.75,On Time,Traffic
4247338382,85815,29.0,4.26,Significantly Delayed,Traffic
819143326,73801,5.0,4.37,On Time,Traffic
3830844750,95930,-3.0,4.35,On Time,
1687314172,86120,3.0,3.7,On Time,Traffic
6756007265,48609,5.0,4.05,On Time,Traffic
489762747,93825,26.0,3.26,Significantly Delayed,Traffic
7509195875,96839,3.0,4.89,On Time,Traffic
2370917070,13883,5.0,2.92,On Time,Traffic
2055388266,80608,8.0,1.43,Slightly Delayed,Traffic
8969304162,67811,-1.0,1.66,On Time,
5412674107,15617,2.0,1.75,On Time,Traffic
1536516619,44378,5.0,2.48,On Time,Traffic
3858907413,29907,0.0,4.53,On Time,
4976389251,89142,-5.0,1.42,On Time,
2218319201,957,-1.0,3.58,On Time,
6729422433,99898,6.0,2.81,Slightly Delayed,Traffic
1354097448,10089,2.0,1.71,On Time,Traffic
8952275304,95373,0.0,1.27,On Time,
436603801,64535,-3.0,3.24,On Time,
5273875984,60888,14.0,0.98,Slightly Delayed,Traffic
9290203003,44829,5.0,1.9,On Time,Traffic
6240982373,16774,-3.0,0.97,On Time,
2718348206,66580,-4.0,2.16,On Time,
4903544026,7486,5.0,4.24,On Time,Traffic
2827266949,24708,8.0,0.86,Slightly Delayed,Traffic
4278423074,23667,3.0,1.71,On Time,Traffic
645916247,98927,29.0,3.22,Significantly Delayed,Traffic
5816647866,84702,17.0,1.15,Significantly Delayed,Traffic
7282397914,26008,5.0,2.19,On Time,Traffic
3260611473,28392,18.0,2.73,Significantly Delayed,Traffic
8638163868,29019,5.0,1.66,On Time,Traffic
177850987,61247,-3.0,2.9,On Time,
9653859166,72058,14.0,0.95,Slightly Delayed,Traffic
9991338690,50037,1.0,2.15,On Time,Traffic
1714593246,11180,2.0,1.89,On Time,Traffic
9742461226,16877,-3.0,1.16,On Time,
3314393477,37197,3.0,4.51,On Time,Traffic
4188317986,48031,10.0,2.74,Slightly Delayed,Traffic
1646665366,59753,12.0,3.22,Slightly Delayed,Traffic
9558804585,32740,6.0,1.81,Slightly Delayed,Traffic
9047652469,27774,-5.0,3.21,On Time,
2893800377,54327,-4.0,4.56,On Time,
6139157985,23927,22.0,1.17,Significantly Delayed,Traffic
6029394789,28593,9.0,2.43,Slightly Delayed,Traffic
5874940276,22218,-5.0,1.62,On Time,
5205211911,38835,14.0,0.86,Slightly Delayed,Traffic
5314758068,68342,10.0,2.53,Slightly Delayed,Traffic
484869710,41598,3.0,4.8,On Time,Traffic
9957728938,64839,16.0,4.11,Significantly Delayed,Traffic
3136056666,60976,12.0,2.35,Slightly Delayed,Traffic
4926104391,13060,14.0,3.91,Slightly Delayed,Traffic
1827844756,78517,3.0,1.67,On Time,Traffic
7032037874,59618,0.0,2.75,On Time,
3779230503,52785,-1.0,2.32,On Time,
3473012553,99684,26.0,3.48,Significantly Delayed,Traffic
7988504487,86506,-1.0,1.73,On Time,
7193792738,91241,4.0,2.36,On Time,Traffic
1533583386,40902,-3.0,4.03,On Time,
7750989397,42583,4.0,2.23,On Time,Traffic
4434816229,17469,-5.0,4.05,On Time,
6896732047,29664,-2.0,4.18,On Time,
4740837071,70,5.0,4.31,On Time,Traffic
6649631729,9599,-1.0,0.86,On Time,
5351526726,18337,-4.0,2.79,On Time,
1506082041,80462,-3.0,1.04,On Time,
1023260165,93967,0.0,3.36,On Time,
8257032403,71946,3.0,2.03,On Time,Traffic
7216524192,79713,-3.0,3.33,On Time,
8619795820,68794,21.0,4.22,Significantly Delayed,Traffic
6494708839,36208,1.0,4.68,On Time,Traffic
9859249765,19900,-3.0,4.49,On Time,
3528020011,32566,3.0,2.96,On Time,Traffic
5937934264,41221,15.0,1.83,Slightly Delayed,Traffic
2976477423,2591,0.0,2.26,On Time,
1002438039,52508,-1.0,1.4,On Time,
2571163022,59402,14.0,4.14,Slightly Delayed,Traffic
6850221497,43013,-5.0,3.02,On Time,
4706569127,74560,5.0,4.56,On Time,Traffic
8168261752,18998,23.0,2.24,Significantly Delayed,Traffic
5828325906,34564,-2.0,4.29,On Time,
5012271549,31783,28.0,2.59,Significantly Delayed,Traffic
8110316958,29001,-3.0,1.73,On Time,
3190808443,42099,-4.0,0.54,On Time,
7175472728,95658,0.0,4.77,On Time,
6011117738,8264,3.0,1.47,On Time,Traffic
5592928753,96131,11.0,3.13,Slightly Delayed,Traffic
3952040848,16761,-2.0,4.44,On Time,
7026479520,82300,2.0,3.2,On Time,Traffic
6572695161,11353,0.0,0.88,On Time,
9090769419,45133,-4.0,2.74,On Time,
5979489110,8681,2.0,1.9,On Time,Traffic
964698323,88842,5.0,2.87,On Time,Traffic
2304242664,76144,0.0,2.7,On Time,
2483843748,62504,3.0,0.78,On Time,Traffic
2560588609,48964,1.0,1.87,On Time,Traffic
9268920928,26193,4.0,1.7,On Time,Traffic
9554019312,24936,-5.0,3.54,On Time,
3749174258,32618,11.0,2.28,Slightly Delayed,Traffic
3947164241,82928,4.0,3.26,On Time,Traffic
487327038,84314,3.0,1.42,On Time,Traffic
8830321199,6336,15.0,1.29,Slightly Delayed,Traffic
3811318591,44363,-2.0,4.0,On Time,
6795601573,52656,-4.0,3.02,On Time,
2348495717,80421,0.0,3.49,On Time,
9505736584,32176,18.0,2.92,Significantly Delayed,Traffic
1857227304,24481,4.0,3.14,On Time,Traffic
5506485302,21250,-5.0,2.4,On Time,
6074837981,2837,-2.0,3.59,On Time,
4150569633,40413,24.0,3.71,Significantly Delayed,Traffic
609838437,34363,-5.0,1.66,On Time,
5229657139,96161,13.0,2.36,Slightly Delayed,Traffic
2589639350,90443,-3.0,3.06,On Time,
7656948165,8275,13.0,2.72,Slightly Delayed,Traffic
1806563605,16607,4.0,2.11,On Time,Traffic
359819834,70910,29.0,1.31,Significantly Delayed,Traffic
1908423841,62488,1.0,1.43,On Time,Traffic
299859815,62089,10.0,4.11,Slightly Delayed,Traffic
923659418,24003,1.0,2.11,On Time,Traffic
3560625119,64562,10.0,2.61,Slightly Delayed,Traffic
7111490680,9546,8.0,1.85,Slightly Delayed,Traffic
5766981431,55608,5.0,4.34,On Time,Traffic
8609945311,66475,-3.0,3.22,On Time,
1691260635,74826,4.0,3.43,On Time,Traffic
8742091504,69967,13.0,3.54,Slightly Delayed,Traffic
1997833025,77103,-2.0,2.37,On Time,
3588296877,73215,25.0,3.92,Significantly Delayed,Traffic
2404804990,38923,9.0,3.6,Slightly Delayed,Traffic
8091385479,66240,5.0,1.44,On Time,Traffic
7133174424,63462,1.0,1.38,On Time,Traffic
6110446321,60577,3.0,4.49,On Time,Traffic
6964586050,40358,-4.0,2.19,On Time,
2351986014,34744,12.0,1.66,Slightly Delayed,Traffic
352569720,23236,-5.0,4.29,On Time,
1235280275,90779,1.0,1.62,On Time,Traffic
9399859705,31133,-5.0,1.12,On Time,
7530379037,79485,5.0,4.3,On Time,Traffic
5952886441,23150,-2.0,3.27,On Time,
5815833211,78640,0.0,4.11,On Time,
7307394687,28767,-5.0,4.97,On Time,
6033014029,31624,11.0,2.16,Slightly Delayed,Traffic
1409944718,92890,3.0,4.11,On Time,Traffic
1811382200,97252,-4.0,1.62,On Time,
4485391413,91131,4.0,3.19,On Time,Traffic
4076279641,25713,8.0,3.35,Slightly Delayed,Traffic
2965387566,57502,5.0,3.9,On Time,Traffic
9397774189,38813,-3.0,3.57,On Time,
1437159967,69843,-1.0,0.58,On Time,
8397785448,99345,4.0,1.34,On Time,Traffic
2778606949,16105,0.0,2.56,On Time,
1774096863,51118,0.0,3.85,On Time,
1497256618,24651,3.0,3.64,On Time,Traffic
734095510,6790,3.0,4.78,On Time,Traffic
5755859055,8522,17.0,1.07,Significantly Delayed,Traffic
5840290569,92356,-1.0,4.15,On Time,
8200985533,92929,-3.0,4.54,On Time,
3255590064,88039,3.0,0.57,On Time,Traffic
4258404747,91951,-1.0,1.33,On Time,
2455161115,23471,0.0,0.68,On Time,
4448004569,49742,-5.0,1.77,On Time,
5951090793,35150,3.0,4.97,On Time,Traffic
7402491996,15459,2.0,1.19,On Time,Traffic
8532411923,82328,7.0,4.22,Slightly Delayed,Traffic
7130555385,48673,12.0,4.26,Slightly Delayed,Traffic
4338197132,9198,-4.0,4.4,On Time,
8044366071,31310,5.0,3.38,On Time,Traffic
4135251774,81045,-1.0,2.86,On Time,
6331483812,45259,9.0,0.54,Slightly Delayed,Traffic
6705171000,64847,0.0,4.31,On Time,
7850128898,29466,17.0,3.07,Significantly Delayed,Traffic
3602554049,77387,19.0,1.84,Significantly Delayed,Traffic
1070259187,61963,1.0,1.5,On Time,Traffic
8412338399,67313,6.0,2.1,Slightly Delayed,Traffic
1478022303,23035,-5.0,1.19,On Time,
2376108199,27586,4.0,4.27,On Time,Traffic
5243035202,1015,-4.0,2.6,On Time,
3687581971,63325,13.0,4.62,Slightly Delayed,Traffic
7008586055,67465,18.0,3.94,Significantly Delayed,Traffic
5142069216,60557,0.0,4.56,On Time,
4152441944,46535,-1.0,2.98,On Time,
5601670348,47213,11.0,4.64,Slightly Delayed,Traffic
605105099,39281,-2.0,2.32,On Time,
4054936140,5888,5.0,4.95,On Time,Traffic
8741892156,10769,10.0,1.27,Slightly Delayed,Traffic
9143640828,902,8.0,0.83,Slightly Delayed,Traffic
6900876252,80644,-5.0,0.55,On Time,
9801174908,33767,8.0,2.38,Slightly Delayed,Traffic
551343632,89726,2.0,0.79,On Time,Traffic
7961173808,3302,-5.0,0.58,On Time,
328909145,32899,4.0,1.52,On Time,Traffic
5551173528,16125,4.0,1.24,On Time,Traffic
4461788759,90986,5.0,3.67,On Time,Traffic
7256212429,87815,0.0,1.74,On Time,
9104077642,20446,-1.0,2.5,On Time,
2914056235,86053,0.0,2.9,On Time,
9127632807,72143,5.0,0.77,On Time,Traffic
6070154414,72709,5.0,1.12,On Time,Traffic
2318969828,37500,-3.0,1.54,On Time,
3813047994,90983,-4.0,4.11,On Time,
1416102774,99752,13.0,3.89,Slightly Delayed,Traffic
8086834412,90596,-2.0,2.96,On Time,
6193826826,81908,3.0,4.12,On Time,Traffic
8444509148,85993,1.0,2.07,On Time,Traffic
42332130,54725,-3.0,4.62,On Time,
6009342120,11837,7.0,2.55,Slightly Delayed,Traffic
4818516411,14473,-3.0,0.77,On Time,
1039229544,89340,-4.0,4.0,On Time,
1515943657,65345,4.0,2.85,On Time,Traffic
9183547951,76728,-1.0,3.84,On Time,
8478376092,68285,1.0,4.44,On Time,Traffic
1454073903,31737,7.0,1.07,Slightly Delayed,Traffic
2855402284,28578,3.0,1.43,On Time,Traffic
7245730533,51934,13.0,3.72,Slightly Delayed,Traffic
2272892659,68804,11.0,3.17,Slightly Delayed,Traffic
9087377568,37895,-1.0,0.61,On Time,
8443685057,52458,2.0,4.12,On Time,Traffic
1590988730,33843,0.0,1.82,On Time,
7357811417,7496,-1.0,2.74,On Time,
394951937,34174,5.0,2.64,On Time,Traffic
3967445448,61413,-1.0,1.0,On Time,
6101022928,8083,5.0,2.35,On Time,Traffic
6322372546,8035,19.0,3.99,Significantly Delayed,Traffic
9778782281,10170,13.0,1.54,Slightly Delayed,Traffic
3867563962,7531,-5.0,1.13,On Time,
9277710098,71248,10.0,1.62,Slightly Delayed,Traffic
7669322773,58926,2.0,4.08,On Time,Traffic
3917427529,26537,15.0,3.25,Slightly Delayed,Traffic
1934158144,30587,5.0,2.0,On Time,Traffic
3157338466,92146,-5.0,0.71,On Time,
9640662474,20774,11.0,3.54,Slightly Delayed,Traffic
2356272189,68709,1.0,1.61,On Time,Traffic
1380510406,52711,4.0,0.78,On Time,Traffic
8008377895,43415,29.0,4.97,Significantly Delayed,Traffic
3680678403,7068,1.0,1.06,On Time,Traffic
2847236502,97878,3.0,4.81,On Time,Traffic
5212392063,31900,-2.0,3.59,On Time,
3804024939,17974,1.0,3.59,On Time,Traffic
5395870775,66722,-4.0,4.3,On Time,
511736499,49116,5.0,1.88,On Time,Traffic
2895886759,67136,6.0,2.56,Slightly Delayed,Traffic
6638513435,33099,-3.0,2.01,On Time,
4168083780,55172,1.0,1.79,On Time,Traffic
2501516144,56299,-2.0,3.25,On Time,
7141387557,73154,-2.0,1.86,On Time,
2747350024,13307,-1.0,4.75,On Time,
9503407492,40500,18.0,4.98,Significantly Delayed,Traffic
4845607487,84614,3.0,3.65,On Time,Traffic
2051769691,58157,-5.0,0.58,On Time,
1092990139,53064,4.0,4.37,On Time,Traffic
5527612319,48508,0.0,1.13,On Time,
8852367079,5117,2.0,1.95,On Time,Traffic
1666202264,32884,6.0,1.93,Slightly Delayed,Traffic
8606484804,49631,6.0,4.72,Slightly Delayed,Traffic
8905341102,5762,-1.0,4.88,On Time,
5418735913,92033,-2.0,3.74,On Time,
970377475,2460,-1.0,3.62,On Time,
7320527109,76831,-1.0,1.77,On Time,
5120698,48582,15.0,4.82,Slightly Delayed,Traffic
3812396179,54016,-5.0,4.05,On Time,
8178951021,80840,18.0,2.67,Significantly Delayed,Traffic
2479115586,6845,4.0,2.28,On Time,Traffic
6239453389,63625,-4.0,4.5,On Time,
3136508414,94346,-3.0,4.05,On Time,
5521273487,98929,26.0,1.94,Significantly Delayed,Traffic
5445047872,66,5.0,1.85,On Time,Traffic
3678525130,82096,2.0,4.74,On Time,Traffic
9328056960,99744,7.0,2.58,Slightly Delayed,Traffic
2109203997,72612,12.0,3.92,Slightly Delayed,Traffic
556665455,18521,27.0,2.43,Significantly Delayed,Traffic
6573705785,13849,-4.0,4.68,On Time,
2609502403,70771,2.0,0.9,On Time,Traffic
1463293930,55394,-5.0,0.57,On Time,
8132887999,7931,11.0,3.77,Slightly Delayed,Traffic
7178789018,53062,-3.0,3.9,On Time,
2295700159,61371,7.0,1.35,Slightly Delayed,Traffic
9277089038,75267,8.0,4.2,Slightly Delayed,Traffic
145057465,2353,-5.0,1.62,On Time,
9452353274,4535,1.0,4.42,On Time,Traffic
5434328922,57029,-2.0,0.77,On Time,
3327051807,26018,3.0,0.96,On Time,Traffic
1461604569,49871,-1.0,3.85,On Time,
606518084,96049,0.0,4.31,On Time,
7637625389,47591,5.0,1.57,On Time,Traffic
7311621328,62428,30.0,0.52,Significantly Delayed,Traffic
8790217194,60118,13.0,1.76,Slightly Delayed,Traffic
1772445313,87117,3.0,1.4,On Time,Traffic
159394992,28600,1.0,2.13,On Time,Traffic
7992910755,85359,28.0,1.99,Significantly Delayed,Traffic
1786931285,76004,-4.0,3.08,On Time,
2225520858,13646,-2.0,3.21,On Time,
5635738740,49965,0.0,0.82,On Time,
2230824358,47833,14.0,1.33,Slightly Delayed,Traffic
9217211301,89404,-3.0,1.26,On Time,
4501870609,42567,5.0,2.15,On Time,Traffic
838401679,83793,15.0,3.0,Slightly Delayed,Traffic
9587315528,92673,5.0,1.12,On Time,Traffic
3122936945,65301,-1.0,0.97,On Time,
6093390755,60889,3.0,1.17,On Time,Traffic
2032956677,17988,7.0,3.45,Slightly Delayed,Traffic
1488430001,40079,14.0,3.83,Slightly Delayed,Traffic
615391848,2990,-4.0,3.51,On Time,
8686093533,5503,-4.0,4.08,On Time,
7038758506,88037,5.0,3.71,On Time,Traffic
2385966456,8862,7.0,3.99,Slightly Delayed,Traffic
259622674,43788,5.0,4.25,On Time,Traffic
2580381935,19165,0.0,0.56,On Time,
5035471587,221,1.0,3.86,On Time,Traffic
9421270813,26657,5.0,4.69,On Time,Traffic
1831516625,25932,7.0,4.68,Slightly Delayed,Traffic
1918841793,10305,-4.0,2.34,On Time,
1757159071,38383,8.0,1.28,Slightly Delayed,Traffic
7589464630,17706,9.0,4.41,Slightly Delayed,Traffic
1577085460,52709,-3.0,2.54,On Time,
2279018877,88797,14.0,3.4,Slightly Delayed,Traffic
7431412128,77224,3.0,2.93,On Time,Traffic
8781520615,42606,1.0,1.71,On Time,Traffic
1276192882,15637,-3.0,4.08,On Time,
4065794921,43280,25.0,2.02,Significantly Delayed,Traffic
1690800946,16850,2.0,0.73,On Time,Traffic
877883470,55423,8.0,1.93,Slightly Delayed,Traffic
7322044533,92064,12.0,4.98,Slightly Delayed,Traffic
5243163885,12230,3.0,2.88,On Time,Traffic
4360255357,68222,8.0,3.72,Slightly Delayed,Traffic
9623306038,56254,-1.0,3.54,On Time,
6282385286,9399,4.0,2.21,On Time,Traffic
1001900652,85241,13.0,0.53,Slightly Delayed,Traffic
5161988291,53927,-5.0,4.28,On Time,
3597752998,71654,0.0,3.13,On Time,
9074325310,83788,5.0,3.35,On Time,Traffic
